// ID-X-Y-Z-W

//Edgeville
spawn - 506	3079	3509	0	1	Edge General Store
spawn - 417	2747	10007	0	1	Basilisk
spawn - 417	2746	10013	0	1	Basilisk
spawn - 437	2705	10030	0	1	Jelly
spawn - 437	2701	10030	0	1	Jelly
spawn - 437	2698	10028	0	1	Jelly
spawn - 437	2698	10025	0	1	Jelly
spawn - 437	2699	10030	0	1	Jelly
spawn - 437	2701	10025	0	1	Jelly
spawn - 437	2702	10029	0	1	Jelly
spawn - 437	2705	10028	0	1	Jelly
spawn - 437	2708	10027	0	1	Jelly
spawn - 437	2710	10025	0	1	Jelly
spawn - 437	2707	10021	0	1	Jelly
spawn - 427	2717	10012	0	1	Turoth
spawn - 427	2715	10008	0	1	Turoth
spawn - 427	2717	10006	0	1	Turoth
spawn - 427	2718	10002	0	1	Turoth
spawn - 427	2722	10002	0	0	Turoth
spawn - 427	2725	10004	0	0	Turoth
spawn - 427	2725	10000	0	1	Turoth
spawn - 427	2723	9995	0	1	Turoth
spawn - 411	2702	9992	0	1	Kurask
spawn - 411	2699	9993	0	1	Kurask
spawn - 411	2702	9996	0	1	Kurask
spawn - 411	2700	10002	0	1	Kurask
spawn - 411	2695	9999	0	1	Kurask
spawn - 411	2694	9996	0	1	Kurask
spawn - 411	2694	10004	0	1	Kurask

//MITHRIL DRAGS
spawn - 2919	1740	5342	0	1	Mithril Dragon
spawn - 2919	1737	5350	0	1	Mithril Dragon
spawn - 2919	1749	5338	0	1	Mithril Dragon
spawn - 2919	1760	5333	0	1	Mithril Dragon
spawn - 2919	1776	5323	0	1	Mithril Dragon
spawn - 2919	1772	5336	0	1	Mithril Dragon
spawn - 2919	1773	5360	0	1	Mithril Dragon
spawn - 2919	1757	5356	0	1	Mithril Dragon

//Battle mages
spawn - 1612	3112	3938	0	1	Battle Mage - Guthix
spawn - 1612	3112	3925	0	1	Battle Mage - Guthix
spawn - 1612	3098	3926	0	1	Battle Mage - Guthix
spawn - 1610	3114	3935	0	1	Battle Mage - Zamorak
spawn - 1610	3108	3936	0	1	Battle Mage - Zamorak
spawn - 1610	3099	3929	0	1	Battle Mage - Zamorak
spawn - 1611	3113	3931	0	1	Battle Mage - Saradomin
spawn - 1611	3103	3932	0	1	Battle Mage - Saradomin
spawn - 1611	3107	3933	0	1	Battle Mage - Saradomin
spawn - 1602	2540	4716	0	1	Chamber

/*Godwars bosses*/
spawn - 3162	2833	5303	2	1	Kree'arra		
spawn - 3163	2830	5304	2	1	Wingman Skree
spawn - 3164	2830	5300	2	1	Flockleader Geerin
spawn - 3165	2839	5301	2	1	Flight Kilisa

spawn - 3129	2927	5325	2	1	K'ril Tsutsaroth		
spawn - 3130	2923	5322	2	1	Tstanon Karlak	
spawn - 3131	2931	5327	2	1	Zakl'n Gritch		
spawn - 3132	2932	5322	2	1	Balfrug Kreeyath	
	
spawn - 2205	2898	5266	0	1	Commander Zilyana
spawn - 2206	2901	5271	0	1	Starlight
spawn - 2207	2903	5261	0	1	Growler
spawn - 2208	2893	5267	0	1	Bree

spawn - 2215	2870	5359	2	1	General Graardor
spawn - 2216	2867	5362	2	1	Sergeant Strongstack
spawn - 2217	2871	5354	2	1	Sergeant Steelwill
spawn - 2218	2874	5360	2	1	Sergeant Grimspike

spawn - 2244	2830	5318	2	1	Spiritual Mage (Bandos Side)
spawn - 2244	2843	5357	2	1	Spiritual Mage (Bandos Side)
spawn - 2244	2839	5359	2	1	Spiritual Mage (Bandos Side)
spawn - 2234	2842	5321	2	1	Jogre (Bandos Side)
spawn - 2234	2836	5349	2	1	Jogre (Bandos Side)
spawn - 2234	2853	5356	2	1	Jogre (Bandos Side)
spawn - 2237	2842	5325	2	1	Ork (Bandos Side)
spawn - 2237	2839	5326	2	1	Ork (Bandos Side)
spawn - 2237	2833	5324	2	1	Ork (Bandos Side)
spawn - 3137	2835	5338	2	1	Vampyre (Bandos Side)
spawn - 3133	2838	5333	2	1	Hellhound (Bandos Side)
spawn - 2235	2844	5333	2	1	Cyclop (Bandos Side)
spawn - 2235	2844	5347	2	1	Cyclop (Bandos Side)
spawn - 2243	2843	5341	2	1	Spiritual Warrior (Bandos Side)
spawn - 3140	2843	5341	2	1	Icefiend (Bandos Side)
spawn - 3135	2848	5347	2	1	Werewolf (Bandos Side)
spawn - 3138	2857	5349	2	1	Bloodveld (Bandos Side)
spawn - 2242	2857	5360	2	1	Spiritual Ranger (Bandos Side)
spawn - 2245	2836	5349	2	1	Goblin (Bandos Side)

spawn - 3169	2844	5287	2	1	Aviansie (Armadyl Side)
spawn - 3169	2834	5285	2	1	Aviansie (Armadyl Side)
spawn - 3169	2840	5267	2	1	Aviansie (Armadyl Side)
spawn - 3169	2863	5269	2	1	Aviansie (Armadyl Side)
spawn - 3168	2834	5285	2	1	Spiritual Mage (Armadyl Side)
spawn - 3168	2839	5275	2	1	Spiritual Mage (Armadyl Side)
spawn - 3167	2839	5275	2	1	Spiritual Ranger (Armadyl Side)
spawn - 3167	2848	5271	2	1	Spiritual Ranger (Armadyl Side)
spawn - 3166	2853	5267	2	1	Spiritual Warrior (Armadyl Side)
spawn - 3166	2872	5262	2	1	Spiritual Warrior (Armadyl Side)


spawn - 3140	2912	5270	0	1	Icefiend (Saradomin Side)
spawn - 3140	2920	5288	1	1	Icefiend (Saradomin Side)
spawn - 2212	2913	5267	0	1	Spiritual Mage (Saradomin Side)
spawn - 3135	2916	5271	0	1	Werewolf (Saradomin Side)
spawn - 2213	2919	5290	1	1	Knight of Saradomin (Saradomin Side)
spawn - 3141	2916	5272	0	1	Gorak
spawn - 2242	2921	5294	1	1	Spiritual Ranger (Middle)
spawn - 2210	2922	5285	1	1	Spiritual Warrior (Middle)

spawn - 3161	2893	5362	2	1	Spiritual Mage (Zamorak Side)
spawn - 3161	2911	5355	2	1	Spiritual Mage (Zamorak Side)
spawn - 3134	2888	5360	2	1	Imp (Zamorak Side)
spawn - 3134	2894	5352	2	1	Imp (Zamorak Side)
spawn - 3134	2914	5345	2	1	Imp (Zamorak Side)
spawn - 3138	2903	5349	2	1	Bloodveld (Zamorak side)
spawn - 3135	2907	5355	2	1	Werewolf (Zamorak side)
spawn - 3133	2909	5348	2	1	Hellhound (Zamorak Side)
spawn - 3139	2923	5355	2	1	Pyrefiend (Middle)
spawn - 3139	2927	5347	2	1	Pyrefiend (Middle)
spawn - 3140	2928	5342	2	1	Icefiend (Middle)
spawn - 3141	2920	5341	2	1	Gorak (Middle)

spawn - 2245	2856	5332	2	1	Goblin (Middle)
spawn - 2245	2854	5325	2	1	Goblin (Middle)
spawn - 2245	2881	5329	2	1	Goblin (Middle)
spawn - 2245	2874	5329	2	1	Goblin (Middle)
spawn - 2245	2878	5313	2	1	Goblin (Middle)
spawn - 2245	2865	5311	2	1	Goblin (Middle)
spawn - 2233	2879	5332	2	1	Ogre (Middle)
spawn - 2233	2857	5312	2	1	Ogre (Middle)
spawn - 2234	2858	5328	2	1	Jogre (Middle)
spawn - 2234	2859	5317	2	1	Jogre (Middle)
spawn - 3138	2862	5333	2	1	Bloodveld (Middle)
spawn - 3138	2883	5319	2	1	Bloodveld (Middle)
spawn - 3138	2873	5387	2	1	Bloodveld (Middle)
spawn - 3138	2876	5293	2	1	Bloodveld (Middle)
spawn - 2241	2864	5338	2	1	Hobgoblin (Middle)
spawn - 2241	2868	5344	2	1	Hobgoblin (Middle)
spawn - 2241	2873	5319	2	1	Hobgoblin (Middle)
spawn - 2237	2868	5333	2	1	Ork (Middle)
spawn - 2237	2865	5333	2	1	Ork (Middle)
spawn - 2237	2860	5325	2	1	Ork (Middle)
spawn - 2212	2888	5306	2	1	Spiritual Mage (Middle)
spawn - 2212	2898	5287	2	1	Spiritual Mage (Middle)
spawn - 2210	2882	5298	2	1	Spiritual Warrior (Middle)
spawn - 2211	2880	5293	2	1	Spiritual Ranger (Middle)
spawn - 2211	2892	5291	2	1	Spiritual Ranger (Middle)
spawn - 2209	2880	5285	2	1	Saradomin Priest (Middle)
spawn - 2209	2904	5292	2	1	Saradomin Priest (Middle)
spawn - 2213	2892	5302	2	1	Knight of Saradomin (Middle)
spawn - 3137	2869	5324	2	1	Vampyre (Middle)
spawn - 3133	2879	5323	2	1	Hellhound (Middle)
spawn - 3141	2879	5323	2	1	Gorak (Middle)
spawn - 3140	2892	5310	2	1	Icefiend (Middle)
spawn - 3140	2904	5300	2	1	Icefiend (Middle)
spawn - 3134	2890	5323	2	1	Imp (Middle)
spawn - 3139	2888	5312	2	1	Pyrefiend (Middle)
spawn - 3139	2867	5306	2	1	Pyrefiend (Middle)
spawn - 3135	2893	5317	2	1	Werewolf (Middle)
spawn - 3135	2869	5389	2	1	Werewolf (Middle)
spawn - 3135	2874	5307	2	1	Werewolf (Middle)
spawn - 3169	2872	5312	2	1	Aviansie (Middle)
spawn - 3169	2864	5313	2	1	Aviansie (Middle)
spawn - 3169	2858	5305	2	1	Aviansie (Middle)
spawn - 3169	2863	5301	2	1	Aviansie (Middle)
spawn - 3169	2876	5399	2	1	Aviansie (Middle)
spawn - 3169	2881	5395	2	1	Aviansie (Middle)
spawn - 3169	2862	5392	2	1	Aviansie (Middle)
spawn - 3169	2866	5390	2	1	Aviansie (Middle)

//fishing
spawn - 3913	2607	3416	0	0	Fishing Spot
spawn - 3913	2609	3416	0	0	Fishing Spot
spawn - 3657	2612	3414	0	0	Fishing Spot
spawn - 3657	2604	3417	0	0	Fishing Spot
spawn - 635	2605	3420	0	0	Fishing Spot
spawn - 1524	2602	3422	0	0	Fishing Spot
spawn - 3417	2602	3413	0	0	Fishing Spot
spawn - 3419	2602	3423	0	0	Fishing Spot
spawn - 2913	2594	3417	0	1	Master Fisher


spawn - 2054	3275	3914	0	1	Chaos Ele
//dagannoths
spawn - 6581	2907	4445	0	1	Supreme
spawn - 6580	2915	4456	0	1	Prime
spawn - 6579	2922	4444	0	1	Rex

spawn - 970	2445	10148	0	1	Dagannoth
spawn - 970	2457	10134	0	1	Dagannoth
spawn - 970	2455	10146	0	1	Dagannoth
spawn - 970	2452	10161	0	1	Dagannoth
spawn - 970	2465	10160	0	1	Dagannoth
spawn - 970	2473	10152	0	1	Dagannoth
spawn - 970	2474	10143	0	1	Dagannoth
spawn - 970	2469	10136	0	1	Dagannoth
spawn - 970	2487	10128	0	1	Dagannoth
spawn - 970	2486	10140	0	1	Dagannoth
spawn - 970	2484	10151	0	1	Dagannoth

//abyssal demons
spawn - 415	2738	5084	0	1	Abyssal Demon
spawn - 415	2737	5088	0	1	Abyssal Demon
spawn - 415	2740	5092	0	1	Abyssal Demon
spawn - 415	2737	5091	0	1	Abyssal Demon
spawn - 415	2739	5089	0	1	Abyssal Demon
spawn - 415	2738	5081	0	1	Abyssal Demon
//lesser demons
spawn - 2006	2838	9553	0	1	Lesser demon
spawn - 2006	2844	9557	0	1	Lesser demon
spawn - 2006	2833	9562	0	1	Lesser demon
spawn - 2006	2836	9560	0	1	Lesser demon
spawn - 2006	2837	9566	0	1	Lesser demon
//dust devils
spawn - 424	3217	9365	0	10	1	Dustdevil
spawn - 424	3215	9363	0	10	1	Dustdevil
spawn - 424	3216	9360	0	10	1	Dustdevil
spawn - 424	3215	9355	0	10	1	Dustdevil
spawn - 424	3213	9351	0	10	1	Dustdevil
spawn - 424	3216	9361	0	10	1	Dustdevil

//hill giants
spawn - 2098	3119	9834	0	1	Hill giant
spawn - 2098	3114	9833	0	1	Hill giant
spawn - 2098	3116	9836	0	1	Hill giant
spawn - 2098	3121	9844	0	1	Hill giant
spawn - 2098	3116	9843	0	1	Hill giant		
spawn - 2098	3111	9845	0	1	Hill giant
spawn - 2098	3109	9841	0	1	Hill giant
spawn - 2098	3108	9835	0	1	Hill giant
spawn - 2098	3107	9828	0	1	Hill giant
spawn - 2098	3100	9832	0	1	Hill giant	
spawn - 2098	3101	9835	0	1	Hill giant
spawn - 2098	3118	9849	0	1	Hill giant


//SLAYER
//banshes
/*spawn - 414	3282	9378	0	1	Banshee 
spawn - 414	3279	9379	0	1	Banshee 
spawn - 414	3281	9376	0	1	Banshee 
spawn - 414	3280	9373	0	1	Banshee 
spawn - 414	3285	9383	0	1	Banshee */
//infernal mage
spawn - 446	3301	9368	0	1	InfernalMage 
spawn - 446	3302	9365	0	1	InfernalMage 
spawn - 446	3301	9361	0	1	InfernalMage 
spawn - 446	3301	9365	0	1	InfernalMage 
spawn - 446	3301	9359	0	1	InfernalMage 
spawn - 446	3299	9356	0	1	InfernalMage 
//Tzhaar npcs
spawn - 2182	2445	5178	0	1	Banker Tzhaar
spawn - 2184	2447	5178	0	1	tzhaar shop
spawn - 2167	2439	5171	0	1	Tzhaar Thing
spawn - 2167	2449	5169	0	1	Tzhaar Thing
spawn - 2167	2456	5160	0	1	Tzhaar Thing
spawn - 2167	2455	5156	0	1	Tzhaar Thing
spawn - 2167	2465	5163	0	1	Tzhaar Thing
spawn - 2167	2463	5170	0	1	Tzhaar Thing
spawn - 2167	2471	5168	0	1	Tzhaar Thing
spawn - 2167	2477	5169	0	1	Tzhaar Thing
spawn - 2167	2475	5153	0	1	Tzhaar Thing
spawn - 2167	2483	5154	0	1	Tzhaar Thing
spawn - 2167	2455	5141	0	1	Tzhaar Thing
spawn - 2173	2461	5160	0	1	Tzhaar Thing
spawn - 2173	2480	5166	0	1	Tzhaar Thing
spawn - 2173	2470	5145	0	1	Tzhaar Thing
spawn - 2173	2449	5146	0	1	Tzhaar Thing
spawn - 2180	2437	5169	0	1	Tzhaar-Mej-Jal

//rock crabs
spawn - 100	2666	3716	0	1	RockCrab Camelot
spawn - 100	2669	3711	0	1	RockCrab Camelot
spawn - 100	2676	3717	0	1	RockCrab Camelot
spawn - 100	2675	3718	0	1	RockCrab Camelot
spawn - 100	2680	3719	0	1	RockCrab Camelot
spawn - 100	2683	3715	0	1	RockCrab Camelot
spawn - 100	2686	3715	0	1	RockCrab Camelot
spawn - 100	2686	3722	0	1	RockCrab Camelot
spawn - 100	2686	3728	0	1	RockCrab Camelot
spawn - 100	2686	3728	0	1	RockCrab Camelot
spawn - 100	2684	3731	0	1	RockCrab Camelot
spawn - 100	2681	3731	0	1	RockCrab Camelot
spawn - 100	2677	3728	0	1	RockCrab Camelot
spawn - 100	2674	3731	0	1	RockCrab Camelot
spawn - 100	2671	3730	0	1	RockCrab Camelot
spawn - 100	2671	3728	0	1	RockCrab Camelot
spawn - 100	2671	3724	0	1	RockCrab Camelot
//slayer tower
spawn - 448	3411	3537	0	1	CrawlingHand 
spawn - 448	3408	3537	0	1	CrawlingHand 
spawn - 448	3413	3536	0	1	CrawlingHand 
spawn - 448	3410	3540	0	1	CrawlingHand 
spawn - 448	3411	3549	0	1	CrawlingHand 
spawn - 448	3413	3546	0	1	CrawlingHand 
spawn - 448	3415	3572	0	1	CrawlingHand 
spawn - 448	3411	3573	0	1	CrawlingHand 
spawn - 448	3416	3572	0	1	CrawlingHand 
spawn - 448	3413	3571	0	1	CrawlingHand 
spawn - 448	3414	3558	0	1	CrawlingHand 
spawn - 448	3411	3561	0	1	CrawlingHand 
spawn - 448	3411	3556	0	1	CrawlingHand 
spawn - 448	3417	3556	0	1	CrawlingHand 
spawn - 448	3420	3558	0	1	CrawlingHand 
spawn - 448	3434	3572	0	1	CrawlingHand 
spawn - 448	3437	3574	0	1	CrawlingHand 
spawn - 448	3432	3574	0	1	CrawlingHand 
spawn - 448	3432	3570	0	1	CrawlingHand 
spawn - 448	3438	3570	0	1	CrawlingHand 
spawn - 414	3439	3562	0	1	Banshee 
spawn - 414	3436	3562	0	1	Banshee 
spawn - 414	3441	3559	0	1	Banshee 
spawn - 414	3442	3546	0	1	Banshee 
spawn - 414	3446	3549	0	1	Banshee 
spawn - 414	3440	3543	0	1	Banshee 
spawn - 414	3436	3562	0	1	Banshee 
spawn - 414	3446	3536	0	1	Banshee 
spawn - 414	3450	3536	0	1	Banshee 
spawn - 414	3447	3539	0	1	Banshee 
spawn - 414	3437	3534	0	1	Banshee 
spawn - 414	3445	3537	0	1	Banshee 
spawn - 446	3438	3561	1	1	InfernalMage 
spawn - 446	3434	3561	1	1	InfernalMage 
spawn - 446	3436	3557	1	1	InfernalMage 
spawn - 446	3441	3560	1	1	InfernalMage 
spawn - 446	3432	3564	1	1	InfernalMage 
spawn - 446	3443	3572	1	1	InfernalMage 
spawn - 446	3446	3573	1	1	InfernalMage 
spawn - 446	3445	3566	1	1	InfernalMage 
spawn - 446	3439	3571	1	1	InfernalMage 
spawn - 484	3422	3574	1	1	BloodVeld 
spawn - 484	3419	3573	1	1	BloodVeld 
spawn - 484	3424	3573	1	1	BloodVeld 
spawn - 484	3410	3574	1	1	BloodVeld 
spawn - 484	3414	3573	1	1	BloodVeld 
spawn - 484	3410	3570	1	1	BloodVeld 
spawn - 484	3408	3574	1	1	BloodVeld 
spawn - 484	3421	3562	1	1	BloodVeld 
spawn - 484	3418	3566	1	1	BloodVeld 
spawn - 484	3423	3566	1	1	BloodVeld 
spawn - 484	3425	3560	1	1	BloodVeld 
spawn - 484	3418	3560	1	1	BloodVeld 
spawn - 6	3425	3551	1	1	Aberrant Spectre
spawn - 6	3422	3553	1	1	Aberrant Spectre
spawn -	6	3430	3550	1	1	Aberrant Spectre 
spawn - 6	3434	3550	1	1	Aberrant Spectre
spawn - 6	3439	3549	1	1	Aberrant Spectre
spawn - 6	3437	3545	1	1	Aberrant Spectre 
spawn - 6	3414	3547	1	1	Aberrant Spectre
spawn - 6	3412	3550	1	1	Aberrant Spectre 
spawn - 6	3417	3545	1	1	Aberrant Spectre
spawn - 6	3423	3540	1	1	Aberrant Spectre 
spawn - 6	3423	3544	1	1	Aberrant Spectre 
spawn - 6	3426	3541	1	1	Aberrant Spectre 
spawn - 6	3419	3540	1	1	Aberrant Spectre
spawn - 6	3418	3536	1	1	Aberrant Spectre
spawn - 1543	3434	3539	2	1	GarGoyle 
spawn - 1543	3440	3539	2	1	GarGoyle 
spawn - 1543	3444	3540	2	1	GarGoyle 
spawn - 1543	3446	3535	2	1	GarGoyle 
spawn - 1543	3448	3539	2	1	GarGoyle 
spawn - 1543	3442	3548	2	1	GarGoyle 
spawn - 1543	3444	3551	2	1	GarGoyle 
spawn - 1543	3445	3547	2	1	GarGoyle 
spawn - 1543	3439	3547	2	1	GarGoyle 
spawn - 11	3438	3563	2	1	Nechryael 
spawn - 11	3442	3561	2	1	Nechryael 
spawn - 11	3437	3558	2	1	Nechryael 
spawn - 11	3446	3562	2	1	Nechryael 
spawn - 11	3444	3568	2	1	Nechryael 
spawn - 11	3439	3570	2	1	Nechryael 
spawn - 11	3436	3568	2	1	Nechryael 
spawn - 11	3435	3572	2	1	Nechryael 
spawn - 11	3446	3572	2	1	Nechryael 
spawn - 415	3425	3568	2	1	AbyssalDemon 
spawn - 415	3428	3565	2	1	AbyssalDemon 
spawn - 415	3425	3574	2	1	AbyssalDemon 
spawn - 415	3423	3572	2	1	AbyssalDemon 
spawn - 415	3427	3570	2	1	AbyssalDemon 
spawn - 415	3416	3567	2	1	AbyssalDemon 
spawn - 415	3413	3570	2	1	AbyssalDemon 
spawn - 415	3410	3574	2	1	AbyssalDemon 
spawn - 415	3413	3574	2	1	AbyssalDemon 

//END SLAYER
/*Brimhaven*/
spawn - 2026	2629	9507	2	1	Greater demon
spawn - 2026	2639	9506	2	1	Greater demon
spawn - 2026	2644	9501	2	1	Greater demon
spawn - 2026	2633	9493	2	1	Greater demon
spawn - 2026	2632	9487	2	1	Greater demon
spawn - 2026	2631	9479	2	1	Greater demon
spawn - 2026	2638	9477	2	1	Greater demon
spawn - 2026	2649	9476	2	1	Greater demon
spawn - 270	2734	9480	0	1	Bronze
spawn - 270	2733	9493	0	1	Bronze
spawn - 270	2744	9487	0	1	Bronze 	
spawn - 270	2740	9494	0	1	Bronze 
spawn - 273	2737	9418	0	1	Iron Dragon
spawn - 273	2732	9420	0	1	Iron Dragon
spawn - 273	2742	9430	0	1	Iron Dragon
spawn -	273	2739	9454	0	1	Iron Dragon
spawn - 273	2718	9461	0	1	Iron Dragon
spawn - 273	2702	9458	0	1	Iron Dragon
spawn - 273	2710	9450	0	1	Iron Dragon
spawn - 273	2703	9425	0	1	Iron Dragon
spawn - 273	2711	9420	0	1	Iron Dragon
spawn - 274	2714	9433	0	1	Steel Dragon
spawn - 274	2712	9444	0	1	Steel Dragon
spawn - 274	2729	9445	0	1	Steel Dragon
spawn - 274	2729	9458	0	1	Steel Dragon
spawn - 1432	2702	9483	0	1	Black Demon	
spawn - 1432	2701	9489	0	1	Black Demon
spawn - 1432	2708	9487	0	1	Black Demon
spawn - 1432	2710	9480	0	1	Black Demon
spawn - 1432	2719	9484	0	1	Black Demon
spawn - 1432	2713	9485	0	1	Black Demon
spawn - 2084	2644	9494	0	1	Fire Giant
spawn - 2084	2652	9487	0	1	Fire Giant
spawn - 2084	2667	9489	0	1	Fire Giant	
spawn - 2084	2664	9482	0	1	Fire Giant
spawn - 2084	2659	9498	0	1	Fire Giant
spawn - 2084	2657	9480	0	1	Fire Giant
spawn - 2090	2679	9549	0	1	Moss Giant
spawn - 2090	2674	9591	0	1	Moss Giant
spawn - 2090	2671	9544	0	1	Moss Giant
spawn - 2090	2663	9557	0	1	Moss Giant
spawn - 2090	2659	9545	0	1	Moss Giant
spawn - 2090	2681	9588	0	1	Moss Giant
spawn - 2090	2677	9592	0	1	Moss Giant
spawn - 2090	2657	9576	0	1	Moss Giant
spawn - 2090	2643	9574	0	1	Moss Giant
spawn - 2090	2651	9533	0	1	Moss Giant
spawn - 2090	2638	9526	0	1	Moss Giant
spawn - 2090	2645	9486	0	1	Moss Giant
spawn - 2090	2655	9587	0	1	Moss Giant
spawn - 2090	2647	9536	0	1	Moss Giant
spawn - 2090	2638	9544	0	1	Moss Giant
spawn - 2090	2639	9532	0	1	Moss Giant
spawn - 247	2698	9504	0	1	Red Dragon	
spawn - 247	2721	9518	0	1	Red Dragon
